raceId,driverId,stop,pit_lap,year,round,circuit_name,race_position,lap_time_ms,constructorId,grid_position,constructor_name,driver_champ_points,constructor_champ_points,personal_best_ms,lap_time_delta,prev_pit_lap,laps_since_last_pit,max_lap,laps_remaining,driverId_ahead,approx_gap_ahead,driverId_behind,approx_gap_behind,tyre_deg_slope_ms_per_lap,rival_ahead_just_pitted,rival_behind_just_pitted,strategy
914,13,2,12,2014,15,Suzuka Circuit,3,119599,3,4,Williams,65.0,187.0,113450,6149,2,10,44,32,1.0,15.0,20.0,0.779,-5000.0,0,0,Standard
1066,852,1,13,2021,15,Sochi Autodrom,20,108912,213,12,AlphaTauri,18.0,84.0,99960,8952,0,13,53,40,849.0,1.943,,15.0,988.1000000000068,0,0,Standard
976,807,2,17,2017,8,Baku City Circuit,8,146622,4,13,Renault,18.0,18.0,108536,38086,13,4,51,34,840.0,0.935,817.0,2.323,-5000.0,0,0,Undercut
1141,859,1,28,2024,21,Autódromo José Carlos Pace,7,113045,215,5,RB F1 Team,2.0,36.0,82123,30922,0,28,69,41,842.0,15.0,844.0,2.282,5000.0,0,0,Emergency
1027,8,1,15,2019,18,Autódromo Hermanos Rodríguez,12,86595,51,14,Alfa Romeo,31.0,35.0,80082,6513,0,15,71,56,841.0,1.842,825.0,4.547,652.2000000000048,0,0,Standard
917,154,3,59,2014,18,Autódromo José Carlos Pace,12,81613,208,14,Lotus F1,8.0,10.0,74070,7543,40,19,71,12,822.0,0.252,813.0,0.408,1322.0999999999954,0,0,Undercut
1121,842,3,43,2024,1,Bahrain International Circuit,17,99291,214,20,Alpine F1 Team,0.0,0.0,94805,4486,31,12,57,14,839.0,6.154,807.0,6.222,539.6999999999994,0,1,Standard
1057,8,2,47,2021,6,Baku City Circuit,11,139263,51,14,Alfa Romeo,0.0,1.0,105601,33662,13,34,51,4,4.0,1.348,841.0,2.067,5000.0,0,0,Standard
901,4,1,11,2014,2,Sepang International Circuit,6,112322,6,4,Ferrari,12.0,18.0,104165,8157,0,11,56,45,807.0,1.644,18.0,5.643,953.4000000000034,0,0,Standard
936,828,3,41,2015,10,Hungaroring,17,101213,15,17,Sauber,5.0,21.0,88004,13209,33,8,69,28,813.0,4.625,831.0,3.132,2157.3999999999924,0,0,Standard
1070,817,1,1,2021,18,Autódromo Hermanos Rodríguez,16,129523,1,7,McLaren,105.0,254.0,81069,48454,0,1,71,70,846.0,0.404,840.0,0.914,0.0,0,0,Emergency
1070,20,1,33,2021,18,Autódromo Hermanos Rodríguez,6,85315,117,9,Aston Martin,36.0,62.0,80460,4855,0,33,71,38,842.0,0.711,844.0,2.095,520.5000000000002,1,0,Undercut
1087,839,1,12,2022,14,Circuit de Spa-Francorchamps,10,120431,214,16,Alpine F1 Team,58.0,99.0,111717,8714,0,12,44,32,846.0,1.544,855.0,0.988,1056.0000000000025,0,0,Standard
990,845,1,22,2018,2,Bahrain International Circuit,16,103477,3,18,Williams,0.0,0.0,94563,8914,0,22,57,35,844.0,5.039,843.0,5.094,1223.2000000000078,0,1,Standard
1039,848,4,43,2020,9,Autodromo Internazionale del Mugello,4,110967,9,4,Red Bull,48.0,158.0,80039,30928,32,11,59,16,817.0,5.308,815.0,15.0,5000.0,0,0,Standard
1007,807,1,12,2018,19,Autódromo Hermanos Rodríguez,6,87832,4,7,Renault,61.0,106.0,80637,7195,0,12,71,59,1.0,8.328,822.0,3.173,928.6999999999985,1,1,Standard
1039,817,3,27,2020,9,Autodromo Internazionale del Mugello,8,101016,4,8,Renault,41.0,71.0,80426,20590,8,19,59,32,826.0,0.255,847.0,8.688,3526.2999999999956,0,0,Undercut
949,831,1,10,2016,2,Bahrain International Circuit,11,105446,15,21,Sauber,0.0,0.0,95360,10086,0,10,57,47,828.0,2.506,825.0,0.193,949.6999999999987,0,0,Standard
1035,822,1,13,2020,5,Silverstone Circuit,1,91947,131,1,Mercedes,58.0,146.0,89765,2182,0,13,52,39,,15.0,1.0,2.707,-145.7999999999936,0,0,Standard
1109,830,2,51,2023,11,Hungaroring,1,86210,9,2,Red Bull,255.0,411.0,80504,5706,23,28,70,19,,15.0,846.0,15.0,549.8999999999982,0,0,Standard
928,4,2,35,2015,3,Shanghai International Circuit,13,111416,1,18,McLaren,0.0,0.0,103728,7688,12,23,56,21,828.0,12.235,813.0,1.569,920.1999999999963,0,1,Standard
944,813,2,44,2015,18,Autódromo José Carlos Pace,9,83924,208,15,Lotus F1,26.0,71.0,76354,7570,25,19,71,27,13.0,6.621,154.0,0.503,1186.200000000002,0,0,Standard
944,813,1,25,2015,18,Autódromo José Carlos Pace,12,84116,208,15,Lotus F1,26.0,71.0,76354,7762,0,25,71,46,154.0,3.515,817.0,4.063,884.7000000000025,0,0,Standard
1071,841,3,29,2021,19,Autódromo José Carlos Pace,13,81778,51,13,Alfa Romeo,1.0,11.0,74227,7551,8,21,71,42,852.0,3.521,847.0,2.001,1332.5000000000043,0,0,Standard
1087,4,2,25,2022,14,Circuit de Spa-Francorchamps,8,119470,214,3,Alpine F1 Team,41.0,99.0,112868,6602,11,14,44,19,839.0,0.202,848.0,7.968,849.8000000000029,0,0,Undercut
1079,1,2,22,2022,6,Circuit de Barcelona-Catalunya,16,94486,131,6,Mercedes,36.0,95.0,84253,10233,1,21,66,44,840.0,2.57,20.0,3.762,902.0000000000007,0,1,Standard
974,13,1,38,2017,6,Circuit de Monaco,16,95484,3,14,Williams,18.0,18.0,76543,18941,0,38,78,40,839.0,0.24,828.0,15.0,3477.2999999999874,1,0,Undercut
1069,4,2,28,2021,17,Circuit of the Americas,11,102779,214,19,Alpine F1 Team,58.0,104.0,100067,2712,7,21,56,28,8.0,10.732,20.0,1.774,661.8000000000012,0,0,Standard
1086,817,2,46,2022,13,Hungaroring,8,87760,1,9,McLaren,19.0,89.0,83590,4170,15,31,70,24,846.0,0.731,840.0,1.056,524.3000000000034,0,0,Undercut
1055,846,1,23,2021,4,Circuit de Barcelona-Catalunya,8,87125,1,9,McLaren,37.0,53.0,81279,5846,0,23,66,43,839.0,1.908,8.0,5.7,531.8000000000023,0,0,Standard
1127,825,1,37,2024,7,Autodromo Enzo e Dino Ferrari,12,87682,210,18,Haas F1 Team,1.0,7.0,81009,6673,0,37,63,26,807.0,1.158,817.0,1.007,890.3000000000026,0,0,Overcut
960,830,1,1,2016,13,Circuit de Spa-Francorchamps,16,129574,9,2,Red Bull,115.0,256.0,113281,16293,0,1,44,43,1.0,1.378,828.0,1.178,0.0,0,0,Standard
979,8,1,33,2017,11,Hungaroring,1,83778,6,2,Ferrari,98.0,275.0,80461,3317,0,33,70,37,,15.0,830.0,7.159,119.90000000000228,0,0,Standard
970,825,2,4,2017,2,Shanghai International Circuit,13,154920,210,12,Haas F1 Team,0.0,0.0,97528,57392,2,2,56,52,815.0,1.985,835.0,2.868,-439.00000000000557,1,0,Standard
1059,847,1,17,2021,7,Circuit Paul Ricard,19,120045,3,14,Williams,0.0,0.0,98314,21731,0,17,53,36,852.0,1.182,854.0,15.0,3820.6000000000026,1,1,Standard
1072,832,1,13,2021,21,Jeddah Corniche Circuit,9,180919,6,15,Ferrari,145.5,297.5,91851,89068,0,13,50,37,815.0,1.196,841.0,2.165,5000.0,0,0,Emergency
940,3,1,15,2015,14,Suzuka Circuit,2,102576,131,1,Mercedes,211.0,463.0,97147,5429,0,15,53,38,1.0,15.0,20.0,13.568,438.4000000000023,0,1,Standard
1075,839,1,16,2022,2,Jeddah Corniche Circuit,9,126558,214,5,Alpine F1 Team,6.0,8.0,93103,33455,0,16,50,34,825.0,2.723,1.0,0.389,5000.0,0,0,Emergency
1114,825,1,12,2023,16,Suzuka Circuit,18,122936,210,15,Haas F1 Team,3.0,12.0,97842,25094,0,12,53,41,815.0,1.188,858.0,15.0,4552.8,0,0,Standard
958,815,1,27,2016,11,Hungaroring,7,89710,10,13,Force India,47.0,73.0,85021,4689,0,27,70,43,830.0,12.842,4.0,6.449,500.2000000000005,0,0,Standard
1129,842,2,40,2024,9,Circuit Gilles Villeneuve,18,102267,214,15,Alpine F1 Team,1.0,2.0,77013,25254,25,15,70,30,855.0,8.19,844.0,15.0,2910.2000000000103,0,0,Standard
968,836,2,24,2016,21,Yas Marina Circuit,16,111044,209,16,Manor Marussia,1.0,1.0,106145,4899,6,18,55,31,831.0,3.624,839.0,5.783,392.5999999999966,0,1,Standard
